0,1,2,3,4,5,6
0.0,0.0,0.0,0.19,16,59,29
0.0,0.0,-0.04,0.24,16,59,31
0.0,0.0,0.0,0.19,16,59,32
0.0,0.0,-0.04,0.19,16,59,33
0.0,0.0,0.0,0.19,17,0,2
0.0,0.0,0.0,0.19,17,0,3
-0.0,0.0,0.0,0.39,17,0,4
29.0,-3.18,19.85,0.44,17,0,5
27.94,-2.11,19.49,0.39,17,0,6
-10.0,4.89,-19.1,0.39,17,0,7
-10.0,12.77,-19.2,0.44,17,0,8
19.88,-0.25,19.85,0.39,17,0,9
29.0,-10.27,19.85,0.39,17,0,10
-10.0,4.84,-19.2,0.34,17,0,11
-10.0,4.86,-17.39,0.44,17,0,12
29.0,-4.13,19.85,0.39,17,0,13
29.0,-2.65,19.85,0.34,17,0,14
-4.39,2.9,-8.51,0.39,17,0,15
-10.0,9.54,-19.2,0.44,17,0,16
29.0,-1.88,19.85,0.34,17,0,17
29.0,-9.43,19.85,0.44,17,0,19
-10.0,3.8,-19.2,0.39,17,0,20
-10.0,7.33,-14.87,0.39,17,0,21
28.23,-0.86,19.85,0.39,17,0,22
29.0,-10.61,19.85,0.34,17,0,23
-10.0,4.04,-19.2,0.34,17,0,24
-10.0,9.27,-17.09,0.39,17,0,25
28.59,-1.38,19.85,0.48,17,0,26
29.0,-11.08,19.85,0.44,17,0,27
-10.0,5.09,-18.93,0.44,17,0,28
-10.0,9.27,-17.67,0.44,17,0,29
29.0,-3.27,19.85,0.34,17,0,30
-10.0,-14.08,-19.2,0.29,17,0,31
7.14,4.48,-3.89,0.34,17,0,32
-10.0,5.97,-19.2,0.39,17,0,33
29.0,-4.0,19.85,0.39,17,0,34
29.0,-8.3,19.85,0.39,17,0,35
-10.0,3.38,-19.2,0.39,17,0,36
-10.0,6.33,-19.2,0.39,17,0,37
29.0,-3.13,19.85,0.39,17,0,38
29.0,-6.81,19.85,0.44,17,0,39
-10.0,5.27,-19.2,0.44,17,0,40
-10.0,6.3,-19.2,0.39,17,0,41
29.0,-3.84,19.85,0.44,17,0,42
29.0,-10.78,19.85,0.44,17,0,43
-10.0,3.32,-19.2,0.39,17,0,44
-10.0,2.97,-19.2,0.39,17,0,45
19.54,0.24,17.67,0.44,17,0,46
29.0,-3.42,19.85,0.34,17,0,47
-2.05,1.42,-5.38,0.39,17,0,48
-10.0,8.17,-18.63,0.39,17,0,49
26.81,-0.63,19.85,0.44,17,0,51
29.0,-9.55,19.85,0.34,17,0,52
0.31,-0.05,0.06,0.44,17,0,53
-10.0,3.65,-19.2,0.48,17,0,54
29.0,-3.05,19.85,0.39,17,0,55
28.33,-11.97,19.85,0.39,17,0,56
-10.0,4.15,-19.2,0.39,17,0,57
-10.0,2.4,-19.2,0.39,17,0,58
20.83,-0.76,17.91,0.53,17,0,59
28.08,-3.43,19.85,0.39,17,1,0
-10.0,5.14,-19.2,0.39,17,1,1
-10.0,9.28,-19.2,0.44,17,1,2
-10.0,2.32,-19.2,0.44,17,1,3
12.29,-4.38,9.71,0.34,17,1,4
-10.0,3.95,-19.2,0.39,17,1,5
-10.0,6.47,-18.12,0.39,17,1,6
29.0,-3.95,19.85,0.44,17,1,7
29.0,-11.13,19.85,0.44,17,1,8
-10.0,3.23,-19.2,0.44,17,1,9
-10.0,2.87,-15.94,0.34,17,1,10
29.0,-3.56,19.85,0.44,17,1,11
29.0,-3.25,19.85,0.44,17,1,12
-10.0,6.13,-19.2,0.39,17,1,13
-10.0,11.89,-17.61,0.39,17,1,14
26.31,-2.54,19.85,0.44,17,1,15
29.0,-10.81,19.85,0.34,17,1,16
-10.0,4.2,-19.2,0.39,17,1,17
-10.0,5.74,-16.56,0.34,17,1,18
29.0,-4.2,19.85,0.34,17,1,19
17.99,-8.06,13.21,0.39,17,1,21
-10.0,4.31,-19.2,0.39,17,1,22
-10.0,5.85,-19.2,0.39,17,1,23
29.0,-3.07,19.85,0.44,17,1,24
29.0,-10.0,19.85,0.39,17,1,25
-10.0,4.94,-19.2,0.44,17,1,26
-10.0,6.97,-15.12,0.44,17,1,27
29.0,-5.16,19.85,0.39,17,1,28
29.0,-9.74,19.85,0.44,17,1,29
-10.0,6.69,-19.2,0.39,17,1,30
-10.0,6.73,-19.2,0.39,17,1,31
29.0,-3.46,19.85,0.39,17,1,32
29.0,-10.02,19.85,0.34,17,1,33
-10.0,-5.44,-19.2,0.39,17,1,34
-10.0,8.07,-16.71,0.44,17,1,35
24.09,-0.73,19.85,0.34,17,1,36
17.02,-2.28,16.59,0.34,17,1,37
-10.0,4.07,-18.6,0.39,17,1,38
-10.0,8.75,-19.2,0.44,17,1,39
29.0,-0.48,19.85,0.44,17,1,40
29.0,-9.39,19.85,0.44,17,1,41
-10.0,4.24,-19.2,0.39,17,1,42
-10.0,6.58,-19.2,0.39,17,1,43
29.0,-1.83,19.85,0.39,17,1,44
29.0,-9.87,19.85,0.44,17,1,45
-10.0,3.59,-19.2,0.39,17,1,46
-10.0,4.64,-19.18,0.44,17,1,47
18.06,-0.76,16.71,0.39,17,1,48
19.12,-0.05,15.93,0.39,17,1,49
-10.0,5.08,-18.83,0.34,17,1,50
-10.0,9.32,-19.2,0.44,17,1,51
28.46,-1.27,19.85,0.39,17,1,53
4.8,3.82,0.0,0.34,17,1,54
-10.0,1.23,-19.2,0.34,17,1,55
-10.0,6.22,-19.2,0.44,17,1,56
29.0,-1.76,19.85,0.34,17,1,57
26.7,-9.97,19.5,0.44,17,1,58
-10.0,4.04,-19.2,0.39,17,1,59
-10.0,7.31,-19.2,0.48,17,2,0
27.41,-3.93,19.85,0.34,17,2,1
28.67,-7.43,19.85,0.34,17,2,2
-10.0,3.85,-19.2,0.34,17,2,3
-10.0,9.75,-13.54,0.44,17,2,4
29.0,-0.32,19.85,0.34,17,2,5
27.56,-12.54,19.85,0.39,17,2,6
-10.0,3.96,-19.2,0.34,17,2,7
-10.0,8.12,-19.2,0.44,17,2,8
28.88,-4.25,19.85,0.44,17,2,9
-1.56,-1.07,-0.83,0.39,17,2,10
-10.0,4.71,-19.2,0.39,17,2,11
-10.0,7.81,-14.19,0.44,17,2,12
21.16,-0.6,18.56,0.44,17,2,13
24.7,-9.43,16.0,0.39,17,2,14
-10.0,2.88,-19.2,0.39,17,2,15
-10.0,6.23,-17.6,0.39,17,2,16
29.0,-4.16,19.85,0.39,17,2,17
25.24,-11.19,19.57,0.44,17,2,18
-10.0,2.22,-19.2,0.34,17,2,19
-10.0,6.1,-14.44,0.34,17,2,20
29.0,-3.6,19.85,0.44,17,2,21
28.76,-9.92,19.85,0.39,17,2,22
-10.0,2.35,-19.2,0.48,17,2,23
-10.0,8.19,-16.12,0.39,17,2,24
